"","tax_id","stnum","stname","zip","frontfeet","depth","sqft","acres","nhood","ward","censustract","landuse","yearbuilt","units","vacantbuild","watersvc","assessedland","assessedval","citytaxable","starc","taxtrust","amtdelinqt","taxyrsdelinqt","overduewater","totint"
"93","31150010200000060010000000","500","GENESEE ST E & TOWNSEND S","13202",99.9,82.06,5587.9806225132,0.128282,"Downtown","15","32","Vacant Land",NA,0,"N",NA,120600,120600,0,0,NA,0,0,0,0
"94","31150010200000010080000000","205-09","JEFFERSON ST E","11213",41,66,2689.4047490918,0.06174,"Downtown","09","32","Commercial",1955,0,"N","A",54120,120000,120000,120000,NA,0,0,0,0
"95","31150010200000010090000000","357-59","WARREN ST S & JEFFERSON S","13220",66,91,6016.03373171746,0.138109,"Downtown","09","32","Commercial",1965,0,"N","A",234234,684000,544000,544000,NA,0,0,4.59,0
"96","31150010200000060040000000","600","GENESEE ST E","13204",268.85,188.44,47353.8582396027,1.087095,"Downtown","15","32","Commercial",1980,0,"N","A",734500,2702000,2102000,2102000,NA,0,0,0,0
"97","31150010100000130010000000","200","JEFFERSON ST W","13202",1300,252,101237.173024937,2.324086,"Downtown","09","32","Community Services",1965,0,"N","A",1139000,5966800,0,0,NA,0,0,0,0
"98","31150010200000010070000000","350","MONTGOMERY ST & JEFFERSON","13202",77,199.5,18510.6345134419,0.424946,"Downtown","09","32","Commercial",1970,0,"Y","I",306000,310000,310000,310000,NA,0,0,0,0
"99","31150010200000070060000000","505","STATE ST S & MCCARTHY AVE","13202",155,462.53,67072.5843354597,1.539775,"Downtown","15","32","Community Services",2002,0,"N","A",1432200,16200000,0,0,NA,0,0,0,0
"100","31150010100000050130000000","362-64","SALINA ST S TO JEFFERSON","13202",37.5,41.1,23839.4237291273,0.547278,"Downtown","09","32","Recreation",1930,0,"N","A",954300,8642100,0,0,NA,0,0,48.51,0
"101","31150010200000010100000000","351-53","WARREN ST S","13202",65.76,132,8653.39971576687,0.198655,"Downtown","09","32","Commercial",1927,0,"N","A",286400,495000,495000,495000,NA,0,0,0,0
"102","31150010300000270020000000","217","MONTGOMERY ST & FAYETTE S","13217",61.96,81.68,5060.8420796385,0.116181,"Downtown","15","32","Commercial",1900,0,"N","A",98800,1315000,1315000,1315000,NA,0,0,0,0
"103","31150010300000240020000000","603","FAYETTE ST E & MCBRIDE ST","13202",70,99,6941.3880141725,0.159352,"Downtown","15","32","Commercial",1950,0,"N","I",59700,159000,159000,159000,NA,0,0,0,0
"104","31150010400000260010000000","215-23","SALINA ST S & FAYETTE ST","13202",87.5,132,11549.9129725687,0.26515,"Downtown","09","32","Commercial",1960,0,"N","A",459400,2200000,2200000,2200000,NA,0,0,0,0
"105","31150010400000270030000000","110","FAYETTE ST W & CLINTON ST","48090",213.24,97.77,20931.5731340441,0.480523,"Downtown","09","32","Commercial",1980,0,"N","A",418000,16800000,16800000,16800000,NA,0,0,0,0
"106","31150010300000260050000000","447","FAYETTE ST E & TOWNSEND S","13202",198,122,24155.8302061831,0.554542,"Downtown","15","32","Commercial",1975,0,"N","A",301600,1160000,0,0,NA,0,0,0,0
"107","31150010300000250050000000","509","FAYETTE ST E","13202",58,132,7687.34846991936,0.176477,"Downtown","15","32","Parking",1960,0,"N",NA,105000,110000,0,0,NA,0,0,0,0
"108","31150010300000250060000000","507","FAYETTE ST E","13132",58,132,7687.07829308281,0.176471,"Downtown","15","32","Commercial",1975,0,"N","A",76600,198000,198000,198000,NA,0,0,0,0
"109","31150010300000250070010000","501-05","FAYETTE ST E","13202",132,131.73,17404.9734425711,0.399563,"Downtown","15","32","Commercial",1975,0,"N","A",175000,560000,560000,560000,NA,0,0,0,0
"110","31150010300000280020000000","221","WARREN ST S & FAYETTE ST","11201",121.43,200.88,24419.4039019987,0.560592,"Downtown","09","32","Commercial",1979,0,"N","A",484000,3200000,3200000,3200000,NA,6140.54,1,0,184.22
"111","31150010400000250020000000","214-20","WARREN ST S & FAYETTE ST","13202",133.16,132,17589.9599049451,0.40381,"Downtown","09","32","Commercial",1962,0,"N","A",348000,371000,371000,371000,NA,0,0,158.69,0
"112","31150010400000270020000000","216-26","SALINA ST S & FAYETTE ST","13202",132.76,60,7939.41187446394,0.182264,"Downtown","09","32","Parks",0,0,"N",NA,202000,202000,0,0,NA,0,0,0,0
"113","31150010300000250040000000","511-15","FAYETTE ST E & MCBRIDE ST","13220",148,90,19919.5071693455,0.457289,"Downtown","15","32","Commercial",1980,0,"N","A",280000,306000,306000,306000,NA,0,0,0,0
"114","31150010400000290050000000","348","FAYETTE ST W","13202",65,135,8466.43650274704,0.194363,"Downtown","09","Null","Vacant Land",NA,0,NA,NA,8400,8400,0,0,NA,111.2,3,0,131.29
"115","31150010300000270030000000","300","GENESEE ST E & MONTGOMERY","13217",161.5,103.23,14563.2420460801,0.334326,"Downtown","15","32","Parking",0,0,"N",NA,180300,180300,180300,180300,NA,0,0,0,0
"116","31150010400000290030010000","300","FAYETTE ST W & FRANKLIN S","13202",361.65,152.42,52022.6500260867,1.194276,"Downtown","09","32","Commercial",2012,0,"N","A",1440900,5130000,0,0,NA,0,0,0,0
"117","31150010300000260040000000","143-49","LANDMARK PL","13202",70.5,42,3003.88425734466,0.06896,"Downtown","15","32","Parking",0,0,"N",NA,29400,29400,0,0,NA,0,0,0,0
"118","31150010300000250090000000","205","TOWNSEND ST S","13202",67,99,6645.20461030757,0.152553,"Downtown","15","32","Commercial",1960,0,"N","A",66300,139000,139000,139000,NA,160.27,1,37.83,4.81
"119","31150010400000260020000000","205-13","SALINA ST S TO BANK ST","13202",102,132,13722.5892651629,0.315027,"Downtown","09","32","Commercial",NA,0,"N",NA,538600,1670000,1670000,1670000,NA,0,0,0,0
"120","31150010400000240080000000","131","SALINA ST S & WASHINGTON","14203",156.9,195.66,24603.2441808012,0.564813,"Downtown","09","32","Parking",1980,0,"N",NA,979600,3880000,0,0,NA,0,0,0,0
